UNO,COST,CMTL,CFUEL,CEQPT,CLABOR,CPROP,MTL,FUEL,EQPT,LABOR,PROP,REVENUE,OUTPUT,PK,K,LOADFCTR,STAGE,POINTS,YEAR,BAD,FIRM,T,LC,LQ,LF,LM,LE,LL,LP,VARCOST,LVC,PM,PF,PE,PL,PP,LPM,LPF,LPL,LPE,LPP,P1,P2,P3,P4,CN,LQ2,TFIRM,LSTAGE,LPF_PP,LPE_PP,LPL_PP,LC_PP 
1,1140643,357714,136566,245280.9375000,479751.1875000,34094.1562500,1.2630539,1.2805014,1.2578812,1.2517653,1.2365913,1134459,.9527566,.6591963,1.2560310,.5344867,690.1999512,47,1970,0,1,1,13.9471025,-.0483958,.2472517,.2335325,.2294287,.2245548,.2123587,1140642.1250000,13.9471016,283213.5625000,106650.4140625,194995.3125000,383259.7187500,27571.0781250,12.5539570,11.5773115,12.8564682,12.1807308,10.2245226,2.3294344,1.3527889,1.9562082,2.6319456,-10.4504719,.0023422,15,6.5369813,1.3527889,1.9562082,2.6319456,3.7225801 
1,1215690,380652.0625000,143100,234413.6250000,517560.3125000,29756.4335938,1.2829704,1.2972898,1.2725658,1.2481031,1.1128626,1243368,.9867569,.6627631,1.2523994,.5323276,706.1999512,60,1971,0,1,2,14.0108223,-.0133316,.2602774,.2491780,.2410352,.2216249,.1069356,1215689.1250000,14.0108213,296695.9062500,110306.8828125,184205.5000000,414677.5312500,26738.6406250,12.6004629,11.6110220,12.9352560,12.1238070,10.1938648,2.4065981,1.4171572,1.9299421,2.7413912,-10.4198141,.0001777,15,6.5598984,1.4171572,1.9299421,2.7413912,3.8169574 
1,1309573,426729.5625000,144362.7500000,261695.9375000,565171.6875000,33131.8164063,1.3872557,1.3055801,1.3999968,1.2261639,1.0903053,1351981,1.0919819,.6848173,1.3598576,.5477364,731.1000977,61,1972,0,1,3,14.0852118,.0879943,.2666475,.3273275,.3364699,.2038905,.0864578,1309572.1250000,14.0852108,307607,110573.6406250,186926.1093750,460926.7187500,30387.6503906,12.6365786,11.6134367,13.0409946,12.1384687,10.3217916,2.3147869,1.2916451,1.8166771,2.7192030,-10.5477409,.0077430,15,6.5945504,1.2916451,1.8166771,2.7192030,3.7634201 
1,1511534,525024.8125000,164957.2500000,248480.4375000,629489.9375000,29419.8359375,1.5798330,1.3523979,1.4235926,1.2643690,1.0245275,1490224,1.1757813,.7009040,1.3706913,.5408459,728.1999512,61,1973,0,1,4,14.2286358,.1619328,.3018793,.4573192,.3531837,.2345732,.0242316,1511533,14.2286348,332329.3125000,121973.8984375,174544.6250000,497868.8437500,28715.5156250,12.7138815,11.7115622,13.1180916,12.0699358,10.2651930,2.4486885,1.4463692,1.8047428,2.8528986,-10.4911423,.0262222,15,6.5905757,1.4463692,1.8047428,2.8528986,3.9634427 
1,1676729,601140.9375000,228470,256972,656013.0625000,24145.7968750,1.5169230,1.1620684,1.3551569,1.2435026,1.0562792,1640384,1.1601696,.8022944,1.3157835,.5911670,769.1999512,74,1974,0,1,5,14.3323555,.1485662,.1502015,.4166839,.3039172,.2179321,.0547525,1676728,14.3323545,396289.6875000,196606.3281250,189625.2812500,527552.6250000,22859.2949219,12.8899012,12.1889591,13.1760035,12.1528053,10.0371132,2.8527880,2.1518459,2.1156921,3.1388903,-10.2630625,.0220719,15,6.6453510,2.1518459,2.1156921,3.1388903,4.2952423 
1,1823743,619829.6250000,314725,260524.1250000,715298.8125000,28323.4453125,1.4218025,1.1849165,1.2479105,1.2637968,1.0577459,1714417,1.1737604,.8843326,1.2227249,.5754166,773.3000488,61,1975,0,1,6,14.4164019,.1602126,.1696723,.3519254,.2214705,.2341205,.0561402,1823741.8750000,14.4164009,435946.3437500,265609.4375000,208768.2812500,565991.9375000,26777.1718750,12.9852743,12.4897823,13.2463350,12.2489805,10.1953049,2.7899694,2.2944775,2.0536757,3.0510302,-10.4212542,.0256681,15,6.6506671,2.2944775,2.0536757,3.0510302,4.2210965 
1,2022894,719334.4375000,325351,288037.5000000,793672.6875000,42891.1171875,1.5525732,1.2349596,1.2223339,1.2319241,1.1627903,2005737,1.2905121,.9653626,1.2169065,.5944955,776,63,1976,0,1,7,14.5200396,.2550391,.2110383,.4399137,.2007621,.2085772,.1508226,2022892.8750000,14.5200396,463317.5625000,263450.7187500,235645.5156250,644254.5625000,36886.3750000,13.0461683,12.4816217,13.3758488,12.3700838,10.5155973,2.5305710,1.9660244,1.8544865,2.8602514,-10.7415466,.0650449,15,6.6541525,1.9660244,1.8544865,2.8602514,4.0044422 
1,2314760,800554.3125000,404836,324547.8750000,909774.3125000,42178.9882813,1.6321373,1.2794638,1.2514114,1.3195887,1.2582521,2271412,1.3906727,1.0277166,1.2516069,.5974092,779.3999023,67,1977,0,1,8,14.6548166,.3297876,.2464411,.4898904,.2242721,.2773201,.2297236,2314758.7500000,14.6548157,490494.4687500,316410.6875000,259345.4531250,689437.8125000,33521.8867188,13.1031694,12.6647959,13.4436321,12.4659166,10.4199543,2.6832151,2.2448416,2.0459623,3.0236778,-10.6459036,.1087599,15,6.6585243,2.2448416,2.0459623,3.0236778,4.2348627 
1,2639162,911955,503976,375099.4375000,1034510,48840.6406250,1.7401333,1.3120604,1.2863846,1.3200560,1.5277166,2608051,1.6127338,1.1097698,1.3113613,.6385224,799.8000488,66,1978,0,1,9,14.7859716,.4779308,.2715987,.5539617,.2518356,.2776741,.4237742,2639160.5000000,14.7859716,524071.9375000,384110.3750000,291592,783686.5000000,31969.6992188,13.1693840,12.8586855,13.5717640,12.5831108,10.3725443,2.7968397,2.4861412,2.2105665,3.1992197,-10.5984936,.2284178,15,6.6843618,2.4861412,2.2105665,3.1992197,4.4134282 
1,3247616,1058068,784710,404972.8750000,1193131,63357.0273438,1.8064575,1.3784952,1.3688316,1.3440123,1.6794195,3071305,1.8254375,1.2080908,1.4075317,.6762868,883,81,1979,0,1,10,14.9934320,.6018197,.3209925,.5913678,.3139575,.2956594,.5184482,3247614.2500000,14.9934311,585714.3125000,569251.1875000,295852.9375000,887738.1875000,37725.5507813,13.2805872,13.2520771,13.6964321,12.5976181,10.5380926,2.7424946,2.7139845,2.0595255,3.1583395,-10.7640419,.3621869,15,6.7833252,2.7139845,2.0595255,3.1583395,4.4553389 
